year,minwage
1965,0.9625
1966,1
1967,1.1125
1968,1.1875
1969,1.2625
1970,1.4875
1971,1.55
1972,1.7125
1973,1.95
1974,2.2625
1975,2.6125
1976,2.8175
1977,2.95
1978,3.0549999
1979,3.1175
1980,3.45
1981,3.7375
1982,3.7375
1983,3.7375
1984,3.8625
1985,3.8625
1986,4.0375
1987,4.1375001
1988,4.625
1989,4.8125
1990,5.0500001
1991,5.2625
1992,5.6374999
1993,5.8
1994,5.925
1995,6.3249999
1996,6.3874999
1997,6.4125
1998,6.575
1999,6.7
2000,6.8125
2001,6.9375
2002,6.9875
2003,7.0125
2004,7.125
2005,7.5124999
2006,7.625
2007,8
2008,8.4124999
2009,8.7
2010,9.1375
2011,9.6999998
2012,10.0375
2013,10.15
2014,10.45
2015,10.8625
2016,11.3
2017,11.95
2018,13.4125
2019,13.8375
2020,14.175
2021,14.325
